n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
11,3,Apologising Properly,Two,You said something cruel during an argument and you meant it at the time.,The apology for something you meant,"Rachel,||I said you were exactly like your mother, and I said it because I knew it would hurt you, and it did.||That was not a slip. I was losing and I reached for the thing I knew would land. It is the worst thing about how I argue and it is not the first time.||I am not asking you to be all right about it. You do not have to answer this or forgive it on any timetable.||I am seeing someone about the way I get in arguments. I started before this, which is not an excuse, but I want you to know it is not just a thing I am saying now.||I am sorry, Rachel. It was cruel and you did not deserve it.||Ade","Admitting the intent. Most apologies for cruelty describe it as a loss of control, because *I did not mean it* is easier to say and easier to hear. It is also untrue, and the other person knows it, which is why the standard apology does not land. Owning the deliberateness is the only version that is believable, and the absence of any request at the end is what makes it a gift rather than a transaction."
12,3,Apologising Properly,Two,You forgot something that mattered enormously to somebody.,The forgotten occasion,"Dear Mum,||I forgot. There is no version of this where I did not just forget, and I am not going to dress it up as being busy, because I was not doing anything that mattered more than your seventieth.||I know you will say it is fine. It is not fine, and I would rather you were annoyed with me than that you pretended.||I have booked the Saturday after next, if you are free, and I will come to you. Not as a replacement, which it is not, but because I want to see you.||I am sorry. I love you.||Alex","Pre-empting the forgiveness. *I know you will say it is fine* refuses the escape route the injured party offers to make things comfortable, and it is the difference between an apology and a small piece of theatre. Note also that the proposed date is not offered as making up for it, since claiming to repair something is a way of closing it early."
13,3,Apologising Properly,Two,You let a colleague down and it cost them.,"Professional apology, where there are consequences","Dear Sam,||I did not send the figures on Thursday and you went into the board meeting without them. That was my error and it made you look unprepared for something that was not your fault.||I have spoken to Ruth this morning and told her the delay was mine, in those words, so the record is straight.||The reason it happened is not interesting and I will not take up your time with it. What I have changed is that anything with a board deadline now sits in the shared calendar with a two-day buffer, so it does not depend on me remembering.||I am sorry, Sam. It should not have landed on you.||Murtaza","Correcting the record with the third party, and saying so. In a professional apology the damage is reputational, so an apology that stays private repairs nothing. Second, refusing to explain: *the reason is not interesting* is a deliberate closing of the door that most people leave open, and it signals that you are not looking for absolution."
14,3,Apologising Properly,Two,You said something confidently in public and it was wrong.,The correction,"All,||In Tuesday's meeting I said the renewal rate was above ninety percent. It is seventy-six. I was working from last year's dashboard and I did not check it before I said it.||That number was load-bearing for the decision we took about hiring, and I would want us to revisit that in light of the real figure. I have put the correct dashboard in the shared drive.||Apologies for the noise, and for the confidence with which I said it.||Murtaza","Correcting it to the same audience that heard the error, at the same volume, without being asked. The last line is the one that costs something: apologising not for the error but for the certainty. Being confidently wrong damages a room's ability to calibrate you, and naming it is what repairs it."
15,3,Apologising Properly,Two,It has been years and you have never apologised.,The late apology,"Dear Chris,||This is about something from 2011, so you may have to think for a moment to remember it, or you may not.||I told a room of people about your brother when you had asked me not to. I have thought about it a great many times since.||I am not writing because I want anything, and I do not expect a reply. I would rather you had the apology than that I kept being comfortable about not giving it. If you would prefer not to hear from me, this will be the last time.||I was twenty-four and that is an explanation rather than a defence.||I am sorry. It was a betrayal and I knew it at the time.||Ade","Disclaiming the reply in the letter itself, and meaning it. Most late apologies are a request for relief dressed as remorse, and the recipient feels the difference at once. Offering to disappear is the proof of good faith: it says the apology is for them and not for your comfort, which is the only thing that makes a fifteen-year-old letter welcome rather than intrusive."
16,4,Owning It at Work,Two,You are going to miss a deadline and it is still three weeks away.,"Bad news, early","Ruth,||The migration is not going to be ready for the fifteenth. My honest estimate is the twenty-ninth.||I am telling you now rather than at the end because there is still time to do something with it. If the fifteenth is immovable, we could ship the read-only version on time and follow with the rest, which I think is the better of the bad options.||What went wrong: I scoped the data cleaning at four days and it is nearer twelve. That is an estimating failure and it is mine.||I am free any time today to talk it through.||Murtaza","Telling them three weeks out, not three days. The value of the letter is in its timing, and the second paragraph makes that explicit by offering something that is only possible because there is still runway. Note that the failure is named in one line and not defended, which leaves the rest of the message for the part your manager needs. Options."
17,4,Owning It at Work,Two,You have made an expensive mistake and nobody has noticed yet.,Escalating your own error,"Ruth,||I have made an error that has cost us somewhere around eleven thousand pounds. Nobody outside my team knows yet and I wanted you to hear it from me first.||I approved the second print run without checking the amended artwork, so four thousand units carry the old address. They are in the warehouse.||What I have done already: stopped the third run, spoken to the printer about a reprint at cost, which they have agreed to, and had a sticker solution priced at nine hundred pounds in case we want to salvage the stock.||What I need from you: a decision on reprint versus stickers, and whether you want to tell Adam or you would rather I did.||I am sorry. It was a check I should have done and did not.||Murtaza","The number first. Before any explanation. Managers report that the delay in getting to the figure is the part that erodes trust, because it feels like being managed. The section that changes the letter's reception is *what I have done already*: it converts you from the source of a problem into the person handling it, and it is why this letter survives an eleven thousand pound mistake."
18,4,Owning It at Work,Two,A client's project is late and it is your fault.,The client apology,"Dear Sarah,||The site will not be live on the third. It will be live on the seventeenth, and I am confident about that date in a way I was evidently not entitled to be about the last one.||This is our failure, not a supplier issue and not a scope issue. We under-resourced the build.||What we are doing: two additional developers started on it yesterday, and I am personally reviewing progress against the plan every Friday, which I will send you whether or not there is anything to report.||What I am not going to do is ask you to be understanding. You have a launch to run and this has made it harder.||We are not invoicing the March retainer.||I am sorry, Sarah. Ring me any time.||Murtaza","Refusing to ask for understanding, which is what almost every client apology does and what clients find most irritating about them. Then a cost borne in public: waiving the retainer converts the apology from words into a number, which is the currency the relationship runs on. The offer of the weekly update *whether or not there is anything to report* addresses the real fear, which is silence."
19,4,Owning It at Work,Two,You reacted badly to being passed over and people saw.,Apologising for your reaction,"Dear Priya,||I was short with you in the stand-up on Wednesday and I have been off with you since, and it is because you got the lead and I wanted it.||That is not your fault and it is not a reflection of anything you did. You were the right choice and I would have made the same one.||I am not writing this to be told it was fine, because it was not, and I am aware that an apology that arrives with an explanation attached can read as a request for sympathy. It is not.||Congratulations, properly this time. I would like to work on it with you if you will still have me.||Murtaza","Naming the actual cause. Everybody in the room already knows why you were short, so an apology that omits the reason is incomplete, and reads as an insult. Saying it out loud is the thing that costs you and the thing that repairs it. The pre-emption of *I am not fishing for reassurance* is doing real work too, because that is exactly what this letter would otherwise look like."
20,4,Owning It at Work,Two,You have taken on something you cannot do.,Asking to be taken off it,"Ruth,||I need to come off the compliance workstream. I am not able to do it well and I have been slow to say so.||This is not workload. I do not have the regulatory background it needs, and I have spent six weeks learning things that somebody with the right experience would already know. The work is about three weeks behind where it should be and that gap will grow.||I should have said this in week two. I did not because I thought I could close it, and by the time it was clear I could not, admitting it had got harder.||I am happy to hand over properly, and I would like to stay on the parts that are within what I can do.||Murtaza","Distinguishing incapacity from overload, which almost nobody does, because *I am too busy* is the permitted version and *I cannot do this* is not. The admission about the delay is the second half of the honesty: naming that the difficulty of confessing grew with time is the sentence that makes the letter credible rather than merely awkward."
21,5,Asking,Three,You want a pay rise.,Asking for money from your employer,"Ruth,||I would like to ask for a rise to sixty-two thousand, and I would like to talk about it properly rather than in a corridor. Could we book half an hour in the next fortnight?||The short version of the case: I took on the compliance reporting in March when Dev left, which was not in my role, and it has stayed with me. The audit went through with no findings for the first time in four years. And I am currently the only person who can run the reconciliation, which is a risk for you as well as an argument for me.||I have looked at what the role pays elsewhere and sixty-two is at the middle rather than the top of it.||Happy to send anything that would be useful ahead of the conversation.||Murtaza","A number in the first sentence. Requests that circle the figure force the manager to guess, and they will guess low. Then the case in three specific facts, not adjectives, including one that is framed as the employer's problem rather than the employee's merit. The phrase *at the middle rather than the top* is modest on purpose and makes the number harder to argue with."
22,5,Asking,Three,You want a favour from somebody senior you barely know.,Asking a stranger,"Dear Professor Adeyemi,||We met briefly at the Warwick symposium in June; I asked the question about the longitudinal data.||I am writing to ask whether you would be willing to spend twenty minutes on a call looking at my sampling design. I am at the stage where the errors are still cheap to fix, and you are the person whose 2019 paper made me realise the approach I had was wrong.||If the answer is no or not now, that is completely fine and I will not follow up.||With thanks either way,||Murtaza Raza","A bounded ask: twenty minutes, one specific question, not *pick your brain*. Senior people decline vague requests because they cannot see the bottom of them. The reference to the specific paper is what separates this from a mass email. *I will not follow up* removes the main reason busy people ignore requests, which is the fear of an obligation that never ends."
23,5,Asking,Three,You want an introduction.,Asking someone to spend their credibility,"Dear Sam,||Would you be willing to introduce me to Nadia Rahim at Halden? No obligation at all, and I would rather you said no than felt you had to.||I am asking because you have worked with her and I have not, and a cold approach from me will go in the same folder as everybody else's.||To make it easy, here is something you could forward, if you would rather not write anything yourself:||""Nadia, this is Murtaza, who ran the reconciliation project I mentioned last year. He is looking at the same problem you described at the conference and I thought you two should talk. Murtaza, Nadia.""||Genuinely fine if not.||Murtaza","Writing the introduction for them. Introduction requests go unanswered for one reason. Composing the email is a small task that never reaches the top of anybody's list. Removing that work is the difference between a request that happens and one that does not. The easy no matters more here than elsewhere, because an introduction spends the other person's reputation."
24,5,Asking,Three,You are struggling and need to ask for help.,Asking for something you find humiliating to need,"Sarah,||I need some help and I have been putting off asking, which is why this is a message rather than a conversation.||Things have been bad since January. I am managing work and almost nothing else, and the flat has got away from me in a way I am embarrassed about.||What would actually help is if you came over on a Saturday and we did the kitchen and the paperwork pile together. Not you doing it. Together, with the radio on, so that it is four hours rather than a thing I keep not starting.||I am also going to the doctor on the eleventh.||I am sorry to land this on you. If it is too much, say so and I will not be hurt.||Ade","A concrete task instead of a general appeal. *I am struggling* leaves the friend wanting to help and with no idea how, and the commonest outcome is a supportive message and nothing else. Naming a specific afternoon and a specific job converts sympathy into action. The line about the doctor signals, without saying it, that the friend is not being asked to be the whole solution."
25,5,Asking,Three,You want someone to be a reference.,Asking for a name,"Dear Ruth,||Would you be willing to act as a reference for me? The role is Head of Operations at the Trust and they are likely to ring rather than write.||I am asking you rather than Adam because the job is mostly about the reporting side, which you saw more of.||Two things that would help, if you are happy to: they are interested in whether I can run a team through a change programme, and the Fenwick migration is the best example of that. And it would be reasonable for them to ask about the compliance workstream I came off, which I would rather you were straight about than diplomatic; I have been open with them about it.||No difficulty at all if you would rather not.||Murtaza","Giving the referee their brief. A reference who has not been told what the job needs will default to generalities, which are worthless. The unusual move is inviting them to be honest about the failure: it tells the referee they will not be put in the position of concealing something, which is the thing that makes people hesitate to say yes."
26,6,Chasing,Three,You have sent one email and heard nothing for a week.,The first chase,"Sam,||Bumping this in case it got buried.||One question: are you happy for us to go ahead with the March date? Yes or no is enough, and I can work out the rest.||Murtaza","Brevity, and the conversion of the request into a binary. The original email probably asked for several things; the chase asks for the one that unblocks you. *In case it got buried* hands the reader a face-saving explanation. That matters. A reader who feels caught out delays again instead of replying."
27,6,Chasing,Three,Somebody has gone silent in the middle of a piece of work.,The disappearance,"Dear Priya,||I have not heard from you since the twelfth and I want to check in without making it awkward.||If something has come up, or the project has changed shape at your end, that is completely fine and I would rather know than guess. If you would like to hand it back, that is also a real option and I will not be difficult about it.||If I do not hear by Friday I will assume you would rather step away, and I will pick the work up from here with no hard feelings at all.||Genuinely, either way.||Murtaza",Offering the exit. Silence in the middle of a project is nearly always somebody who has fallen behind and cannot face saying so. Every further day makes the confession harder. Naming the escape route takes the shame out of it. It then produces the opposite of what it offers. People given permission to quit reply and carry on.
28,6,Chasing,Three,A decision you need keeps slipping and you are getting impatient.,Escalating without escalating,"Ruth,||The supplier decision has moved three times, most recently to the twenty-first. I am not chasing to hurry you; I know it is not straightforward.||What I do need is to understand what it is waiting on, because two things downstream depend on it and I would rather re-plan around a real date than keep holding.||If the honest answer is that it will not be resolved this quarter, tell me that and I will build the plan on the current supplier instead.||No rush on this reply, but a rough steer would help a lot.||Murtaza","Asking what it is waiting on, not when it will be done. A date can be given without thought and slip again. A blocker has to be described. Describing it produces either the decision or the real timeline. Offering to plan around the failure is the pressure, and it is applied without anybody having to be criticised."
29,6,Chasing,Three,A friend has stopped replying and you do not know why.,The personal chase,"Tom,||I have sent two things and not heard back, which is unlike you, so I am doing the thing where I ask directly rather than working it out on my own and getting it wrong.||Is everything all right? And separately, have I done something? I would genuinely rather know than wonder, and if I have, I would like the chance to sort it.||If you are just under water, ignore this entirely and I will assume that.||Ade","Asking both questions and separating them. The two possibilities, *something is wrong with them* and *something is wrong between us*, need different letters. Most people write one and hope it covers both. Asking outright is uncomfortable for about a day and prevents the slow silent drift that ends friendships without anybody deciding to."
30,6,Chasing,Three,Somebody owes you an answer about something that matters and keeps deflecting.,Asking for a straight answer,"Dear Chris,||I have raised the question about the flat three times now and each time we have ended up talking about something else. I do not think that is deliberate, but I need to ask it plainly.||Are you intending to move out in April, or not? I am not asking you to justify the answer and I am not going to argue with it. I need to know because I have to give notice by the fourteenth either way.||If you do not know yet, tell me that and tell me when you will.||Ade","Naming the pattern without accusing anybody of it, and then reducing the question to a single unavoidable sentence. The promise not to argue is what makes it answerable. Repeated deflection is somebody avoiding a row. Remove the row in advance and the reason to deflect goes with it."
31,7,Declining,Four,Your manager has asked you to take on something and you have no capacity.,Declining upwards,"Ruth,||I do not think I can take the Halden review on, and I would rather say so now than deliver it badly in April.||Right now I have the migration through to March and the audit follow-up, both of which have dates on them. Adding a third means one of the three slips, and I would rather you chose which than found out later.||If Halden is the priority, I can do it and move the audit follow-up to May. If the audit date is fixed, then it needs somebody else.||Happy either way, but I do not think all three fit.||Murtaza","Refusing without refusing: the no is real, and it is framed as a prioritisation question handed back to the person entitled to answer it. Managers respond badly to *I cannot* and well to *here is what it displaces*, because the second gives them the decision and the first takes it away."
32,7,Declining,Four,You have been invited to a wedding you do not want to attend.,The declined invitation,"Dear Priya and James,||Thank you so much for the invitation. I am so sorry, but I will not be able to come.||I would have loved to be there and I am genuinely sorry to miss it. I hope the day is everything you want it to be, and I would love to take you both out when you are back and hear about all of it.||The present is in the post.||With love and every good wish,||Ade","No reason at all. A wedding decline with an explanation invites the couple to solve it, and any explanation short of a funeral will be weighed. The absence of one is read as *I cannot*, which is what you want, and the offer of the dinner afterwards is what stops the refusal reading as indifference. Note the answer arrives in the second sentence."
33,7,Declining,Four,Somebody keeps asking you to help and you keep saying yes.,The repeat asker,"Dear Sam,||I am going to have to stop doing the newsletter after this issue.||I have done it for three years and I have enjoyed a lot of it, but it has grown from an evening a month to most of a weekend, and it has quietly become the thing I do instead of the things I meant to do.||I will do the March issue and I will write up how it all works so the next person is not starting from nothing. After that I am out, and I am afraid I do mean out rather than occasionally helping.||Thank you for asking me in the first place. It was good of you.||Ade","Closing the back door in advance. Somebody who has said yes for years is assumed to be available, so a refusal that leaves any opening will be tested. *I do mean out rather than occasionally helping* is uncomfortable to write and it is the sentence that makes the letter work. The handover offer is what keeps the relationship intact."
34,7,Declining,Four,You have been asked to do professional work for free.,The free work request,"Dear Nadia,||Thank you for thinking of me. I am afraid I cannot do it on an unpaid basis.||This is not a comment on the project, which I like, or on you. It is that design is what I do for a living rather than in addition to it, and I have had to make it a rule because the exceptions took over.||My rate for something this size would be around eighteen hundred. If that is out of reach, I would be glad to spend half an hour on the phone giving you my honest view on the brief, at no charge, which might save you more than the design would.||With very best wishes,||Murtaza","Naming a price instead of only refusing. It converts *no* into *here are the terms*, which is a different conversation and one that sometimes converts. The half hour offered free is the crucial softener: it demonstrates goodwill, costs little, and makes it plain that the refusal is about the work rather than about them."
35,7,Declining,Four,"You do not want to, and you do not have a reason you want to give.",Declining without explaining,"Chris,||Thanks for asking me, but I am going to say no to this one.||No dramatic reason, I just do not want to take it on at the moment.||Hope it goes well and do ask me another time.||Ade","Forty words, and *no dramatic reason* is the whole letter. Refusals without stated reasons make people anxious that something is being concealed, and one short line closes that off without inventing anything. *Do ask me another time* is the piece that keeps it from sounding like a door closing, and it is only fair to include if it is true."
36,8,Ending It,Four,You are resigning.,The resignation,"Dear Ruth,||I am writing to resign from my role as Operations Manager. My notice is three months, so my last day would be the fourteenth of June.||I have taken a position at the Trust. It is a step up in scope and it was not something I went looking for.||I want to say properly that these four years have been the best of my working life, and that most of what I can do now I learned here, a good deal of it from you.||I would like to leave this in a state where nobody is picking up loose ends. I will put together a handover plan this week and I am happy to be flexible about the date if a different one works better for the migration.||Thank you, genuinely.||Murtaza","The date in the first paragraph. A resignation that buries the leaving date makes the reader hunt for the only fact that matters. The warmth in the third paragraph is unqualified and therefore believable, and the handover offer is the thing that determines what people say about you for the next ten years, which is the actual purpose of a resignation letter."
37,8,Ending It,Four,You are ending a business relationship with a client.,Resigning the account,"Dear Sarah,||After a good deal of thought, we are going to step back from the account at the end of the current agreement on the thirtieth of April.||This is not about any single thing and it is not about money. It is that the work has moved a long way from what we are good at, and I would rather say so than keep doing it adequately.||Everything through to the thirtieth will be completed as agreed. I will also put together a full handover pack, and I am happy to speak to whoever picks it up.||I can recommend two firms who would be a better fit than us, if that would be useful.||It has been four years and I am grateful for all of them.||Murtaza","Declining to itemise. *Not about any single thing* pre-empts the reasonable question and refuses the row, and the honest reason offered instead is about fit rather than fault, which is both true and impossible to argue with. The recommendation of successors is what converts an ending into something the client remembers well."
38,8,Ending It,Four,A friendship has become one-sided and you want to stop.,Letting a friendship go,"Dear Chris,||I have been putting this off for a while.||I do not think I can carry on with the friendship as it is. For a long time now the contact has been in one direction, and the times we do speak are mostly about your situation. I have not minded that for stretches; I do mind that when things were bad for me last year you did not notice, and I have realised I stopped telling you.||I am not looking for an argument about whether that is fair and I am not asking you to fix it.||I am not angry with you. I am just tired, and I would rather step back honestly than keep drifting and pretending I am busy.||I hope things get easier for you. I mean that.||Ade","One specific instance, not a general characterisation. *You are selfish* is arguable; *when things were bad for me you did not notice* is a fact and cannot be debated away. Declining the argument in advance is the part that makes it survivable for both of you, and the refusal to pretend to be busy is the honesty the letter turns on."
39,8,Ending It,Four,You need distance from a family member.,"Asking for space, without a rupture","Dad,||I am going to take a step back from contact for a while. I do not know how long and I am not going to pretend I do.||This is not about a single argument and there is nothing you can do this week to change it. It is that I come away from most of our conversations feeling smaller than when I went in, and I have stopped being able to absorb that.||I am not cutting you off and I am not asking anybody else in the family to take a side. I will be at Grandma's in June.||I will get in touch. Please do not ring in the meantime; it would make this harder rather than shorter.||Murtaza","Setting the terms out loud, including the one nobody remembers to set: what happens next, and who initiates it. Without that line the distance becomes a negotiation conducted through voicemail. Naming an event he will still attend prevents the whole family reading it as a rupture, which is what escalates these."
40,8,Ending It,Four,You are ending a relationship.,The letter you should probably not send,"Rachel,||I am ending our relationship. I am sorry, and I know that reading it in writing is not what you deserve.||I have tried to say this to you three times and each time I have not managed it, and a fourth failed attempt seemed worse than this.||The reason is not a single thing you did. I have known for months that I am not in it in the way you are, and continuing while knowing that is the thing I am most ashamed of.||I will move my things out on Saturday while you are at your mother's, if that is easiest. I will pay the rent through to the end of the quarter.||If you want to talk, I will talk, whenever and for as long as you want.||I am sorry, Rachel.||Ade","Admitting that the medium is wrong, in the second sentence, and giving the true reason for it. This letter is here as the exception that proves the chapter: almost every ending of this size should happen face to face, and the only defensible version in writing is one that says so and gives the true reason instead of dressing the choice up as consideration."
41,9,Money Between People,Five,A friend borrowed money and has not mentioned it in four months.,Asking for it back,"Chris,||This is awkward and I would rather be awkward than weird with you, so I am just going to say it.||Could I ask about the four hundred from October? I am not in trouble and there is no crisis, but it has been a while and I have noticed I have started thinking about it, which I do not want.||If it is difficult, tell me and we will do fifty a month, or whatever works. If you had genuinely forgotten, which is completely possible, then no problem at all.||It is not a big deal and it is not going to become one. I just did not want it sitting there unsaid.||Ade","Naming the awkwardness, which drains most of it. Then the crucial admission: *I have started thinking about it, which I do not want*, which explains why the letter exists in terms of the friendship rather than the finances. Offering the instalment option before he has to ask removes the humiliation of having to propose it himself."
42,9,Money Between People,Five,A friend has asked to borrow money and you do not want to lend it.,Refusing to lend,"Sam,||I am sorry, I am not going to be able to lend you the two thousand.||It is not about you and it is not about whether I think you would pay it back. I made a rule some years ago about not lending money to people I want to stay friends with, after it went badly twice, and I have kept to it since.||What I can do: I can give you three hundred, as a gift, now, with nothing attached and no expectation of it coming back. And I am happy to sit down with the numbers with you this week if a second pair of eyes would help.||I know that is not what you asked for and I am sorry.||Ade","A stated rule, not a judgement about this person. A rule is impersonal and cannot be argued with, and it lets the refusal avoid saying the unsayable thing about trust. The smaller gift is what stops the letter being a pure no. It is framed as a gift on purpose, so that it cannot become a second debt."
43,9,Money Between People,Five,Your friends are planning something you cannot afford.,Saying you cannot afford it,"All,||The villa looks wonderful and I am going to have to sit this one out. It is more than I can spend this year.||I am telling you now rather than being vague about dates until it goes away, which is what I would normally do.||Please do book it without me, genuinely, and please do not adjust it to a cheaper thing on my account, because then I will feel worse about it than I do now.||Can we do something at mine in September instead? I will cook and it will cost nobody anything.||Ade","Saying the actual reason. The alternative, which is what most people do, is a fog of scheduling difficulties that everyone half-believes and that has to be maintained for months. Forbidding them to downgrade the trip is what prevents the second social cost, which is being the person who spoiled it, and the counter-offer keeps you in the group."
