n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
14,2,Nobody Will Want One,One,"Remote shopping, while entirely feasible, will flop, because women like to get out of the house, like to handle merchandise, like to be able to change their minds.","Time, 1966","It did not flop. It took thirty years to begin and another twenty to become ordinary, so the prediction had a long and comfortable retirement before it failed. Online retail passed a fifth of all American retail sales within sixty years of the piece.","A real observation turned into a permanent law of human nature. People genuinely did like handling merchandise, and many still do. The error is in the word *because*. A preference is a matter of degree, traded off against other things, and the sentence promotes it to a fixed fact about a whole category of person. Watch for a forecast that rests on what people are like. People are like that until something is cheap and easy enough that they are not."
15,2,Nobody Will Want One,One,"The real future of the laptop computer will remain in the specialised niche markets. Because no matter how inexpensive the machines become, and no matter how sophisticated their software, I still can't imagine the average user taking one along when going fishing.","Erik Sandberg-Diment, 1985","He was wrong twice over. Laptops passed desktops in sales in 2008, and the pocket version, which he was not even contemplating, went fishing with something like four billion people.","The words *I still can't imagine*, offered as evidence. He is transparent about his method, which is more than most people in this book manage, and his method is to consult his own imagination and report the result. The failure of imagination is not a fact about the world. It is a fact about the imagination, and the honest version of that sentence ends with a question rather than a conclusion. Imagination is not evidence."
16,2,Nobody Will Want One,One,"Visionaries see a future of telecommuting workers, interactive libraries and multimedia classrooms. They speak of electronic town meetings and virtual communities. Commerce and business will shift from offices and malls to networks and modems. Baloney.","Clifford Stoll, 1995","All of it happened. All of it happened, most of it within fifteen years, and the pandemic of 2020 delivered the telecommuting item in a fortnight. Stoll has been unusually good about this since, reprinting the piece himself and pointing out that he was wrong on almost every count.","Correct observations about the present, dated by an argument about the future. His specific complaints were sound. The network of 1995 was slow, the search was terrible, and there was no way to pay for anything. Each was a fixable engineering problem. He read them as evidence about what the medium was, and not as a list of what had not been done yet. The list was, in effect, a roadmap, and he had written it himself."
17,2,Nobody Will Want One,One,I predict the Internet will soon go spectacularly supernova and in 1996 catastrophically collapse.,"Robert Metcalfe, 1995",It did not. Metcalfe invented Ethernet and is not a man who misunderstands networks. He had promised to eat his words if he was wrong. In 1997 he put a printed copy of the column in a blender at an industry conference and drank it in front of the audience.,"Extrapolating a failure mode past the point where anyone would notice and fix it. He was right about the congestion, right about the brownouts, right that the growth curve was outrunning the infrastructure. What he modelled was a system nobody was maintaining. Almost every apocalyptic forecast about an operating system, a network or an institution shares this shape: it assumes the operators will watch it happen. Somebody is watching the graphs."
18,2,Nobody Will Want One,One,"The growth of the Internet will slow drastically. By 2005 or so, it will become clear that the Internet's impact on the economy has been no greater than the fax machine's.","Paul Krugman, 1998","The network held. It did not slow, and the internet's economic footprint by 2005 was larger than any single technology of the twentieth century. Krugman won the Nobel prize in economics ten years after saying it. A wrong forecast tells you very little about a mind.","The Metcalfe's law argument, borrowed and misused. His reasoning was that most people have nothing to say to one another, so the value of connecting everybody had been overstated. That is a real and underrated point about network value, and it is the correct explanation for why several later social products failed. He aimed it at the network itself and not at the applications running on it. A general argument fired at the wrong level of a stack sounds rigorous and lands nowhere."
19,2,Nobody Will Want One,One,What would I do? I'd shut it down and give the money back to the shareholders.,"Michael Dell, 1997","Ten years. Apple was ninety days from insolvency when he said it. Ten years later it passed Dell in market value, and it is now worth something on the order of fifty times as much. Steve Jobs sent the remark to every employee and put it on a screen behind him at a company meeting, which is one way of using a competitor's opinion.","Valuing a company by its balance sheet rather than by what was about to be put into it. Dell's judgement of Apple in 1997 was correct in every particular that could be counted. He had no way to count the thing that mattered: a returning founder and four unreleased products. This is the standard limitation of financial analysis and not a scandal. The scandal is only in the confidence. Count what can be counted, and say so."
20,2,Nobody Will Want One,One,There's no chance that the iPhone is going to get any significant market share. No chance.,"Steve Ballmer, 2007","It got the share. By 2012 the iPhone alone was generating more revenue than the whole of Microsoft. Windows Mobile, the product Ballmer was defending, was discontinued. He has been generous about it since. At the time he was giving the correct summary of the business as it existed: no keyboard, no enterprise support, one carrier, six hundred dollars.","Measuring against the wrong customer. Ballmer's market was corporate IT departments buying handsets in bulk, and for that customer everything he said was true. The iPhone did not compete for that customer. It went to the individual, who took it to work and made the IT department deal with it. What had been a weakness in the first market was the whole product in the second."
21,3,The Ones That Never Arrived,One,"Population grows geometrically while food supply grows arithmetically, so want and famine are permanent and unavoidable.","Thomas Malthus, 1798","It did not happen. World population has gone up roughly eightfold since he wrote, and the proportion of people who are hungry has fallen to the lowest level in recorded history. Famine still occurs, and where it occurs it is now nearly always a political event rather than an agricultural one. Malthus was not answered by an argument. He was answered by nitrogen fertiliser, mechanisation, and plant breeding.","Two trend lines drawn on the assumption that neither responds to the other. It is the founding error of the genre and every entry in this chapter is a variation on it. Malthus had no reason to expect the Haber process. He had every reason to expect that the pressure of hunger would drive people to work furiously on the problem of yield, which is exactly what happened. A model of the future that leaves out the reaction to the model is describing a world without people in it."
22,3,The Ones That Never Arrived,One,Three-hour shifts or a fifteen-hour week may put off the problem for a great while. For three hours a day is quite enough to satisfy the old Adam in most of us.,"John Maynard Keynes, 1930","The leisure never arrived. He predicted that by roughly 2030 his grandchildren's generation would work about fifteen hours a week, because productivity would have risen enough to make more unnecessary. The productivity arrived, more or less on the schedule he set out. The leisure did not. Working hours fell for about forty years and then stopped falling, and in some professions reversed.","Treating wants as a fixed quantity to be satisfied. Keynes distinguished absolute needs from relative ones and then assumed the relative ones would run out of steam, which is the one part of the essay he does not argue for. Wants turned out to be manufactured as fast as the means of meeting them. A good deal of the productivity went into goods that did not exist in 1930, and not into afternoons off."
23,3,The Ones That Never Arrived,One,"Mark my word: a combination airplane and motorcar is coming. You may smile, but it will come.","Henry Ford, 1940","It never came. Every decade since has produced a prototype, a magazine cover and a company that went under. The obstacles are not aeronautical: the machine can be built, and has been, many times. What kills it is simpler. A good car is a bad aeroplane and a good aeroplane is a bad car, and a country of amateur pilots in three dimensions over a city is a proposition no regulator will accept.","Adding two solved problems together and assuming the sum is solved. Ford had done exactly this with the car itself, brilliantly, and it worked, which is presumably why he expected it to work again. Combination is not free. Almost every constraint that binds one half of a hybrid contradicts a constraint on the other. The result is worse at both jobs than the two separate machines it replaces."
24,3,The Ones That Never Arrived,One,It is not too much to expect that our children will enjoy in their homes electrical energy too cheap to meter.,"Lewis Strauss, 1954","It is metered, and it is not cheap. The reactor fuel is nearly free, which is the part Strauss, then chairman of the Atomic Energy Commission, was thinking about. The plant that contains it is not, and the cost of building one has risen in real terms for sixty years, which is close to unique among manufactured things.","Costing the fuel instead of the system. It is a specific and repeated failure and it has a shape you can learn to see: the expert prices the part he finds interesting and treats the rest as detail. Concrete, steel, litigation, insurance, decommissioning and the institutional weight of proving to a frightened public that a thing is safe turned out to be the whole cost of nuclear power. None of it was in his sentence."
25,3,The Ones That Never Arrived,One,Nuclear-powered vacuum cleaners will probably be a reality within 10 years.,"Alex Lewyt, 1955","No. Lewyt made vacuum cleaners for a living and was quoted in the New York Times, and the remark is now used, unfairly, as a punchline about the credulousness of the 1950s. It was a thoroughly mainstream opinion. The atom was new, it was small, and for about a decade the assumption that everything would be run by it was ordinary rather than eccentric.","Applying a general technology to every particular without asking what the particular needs. A vacuum cleaner's problem is not energy density: it plugs into a wall, and the wall has as much power as anybody could want. This is the standard failure around a genuinely important new technology, and it recurs with every one of them. The question worth asking is never *where could this be used* but *where is the existing solution actually painful*."
26,3,The Ones That Never Arrived,One,"Machines will be capable, within twenty years, of doing any work a man can do.","Herbert Simon, 1965","Sixty years on, they cannot, though the boundary has moved a very long way and continues to move. Simon was not a hobbyist. He won the Nobel prize in economics and the Turing award, and he was one of the founders of artificial intelligence as a field. He said, in the same period, that a computer would be chess champion of the world within ten years. That took thirty-two.","Mistaking the hardest-looking part for the hard part. The early results were startling: within a decade machines could prove theorems and play a decent game, which are things clever humans find difficult. The reasonable inference was that the easy things would follow at once. What followed instead was the discovery that walking across a room, understanding a sentence and recognising a face are enormously harder than symbolic logic. The tasks we find effortless are the ones evolution spent longest on and the ones we can least explain."
27,3,The Ones That Never Arrived,One,In the 1970s hundreds of millions of people will starve to death in spite of any crash programs embarked upon now.,"Paul Ehrlich, 1968","They did not. They did not. The 1970s saw famines, and they were regional and political. Over the same decade the Green Revolution roughly doubled cereal yields in India and Mexico. Norman Borlaug, who bred the wheat, is credited with a number of lives saved that runs into the hundreds of millions. Ehrlich later lost a public wager with the economist Julian Simon over whether the price of five metals would rise across the 1980s. All five fell.","Malthus again, with better graphs. The book's method is to take the current yield and the current birth rate and run them forward. Its most confident passages are about the impossibility of the exact thing that was happening in Mexican wheat fields while it was being written. The specificity is what makes it instructive: a forecast phrased as *in spite of any crash programs embarked upon now* has explicitly ruled out the mechanism that then rescued everyone."
28,3,The Ones That Never Arrived,One,In from three to eight years we will have a machine with the general intelligence of an average human being.,"Marvin Minsky, 1970",The field ran out of money instead. The funding was cut in Britain after the Lighthill report of 1973 and in America not long after. The people who lived through what followed call it the AI winter. Minsky was the leading figure in the field and co-founded the laboratory at MIT.,"A promise made in the currency of grant applications and then quoted as a forecast. There is a systematic distortion around any field that lives on funding, and it does not require anybody to lie. The optimistic version gets the money, so the optimistic version gets said. After a while it is what everybody in the room believes, because it is what everybody in the room has heard. Read any timeline from inside a field that is asking for money with that in mind, including the ones being published now."
29,3,The Ones That Never Arrived,One,"The office of the future will do away with paper. Documents will be called up on a screen, and executives will keep almost nothing on a desk.","George Pake, 1975","Paper consumption went up. American office paper consumption then rose for a quarter of a century, and peaked around the turn of the century, at roughly double the level of the forecast. Pake ran Xerox PARC, where the technology that eventually did reduce paper was being invented at that moment, so he was not wrong about the tools. He was wrong about the sequence.","Forgetting that a new medium first makes the old one cheaper to use. Word processors and laser printers, both PARC products, made it trivial to produce a document, so people produced far more of them and printed most. The paperless office arrived eventually, thirty years late, and it arrived when screens got good and habits changed, not when the software did. A technology's first effect is almost always to amplify the thing it will later replace."
30,3,The Ones That Never Arrived,One,"It will be to the car what the car was to the horse and buggy, and it may be more important than the internet.","John Doerr, 2001","Around 140,000 were sold, over eighteen years, mostly to police forces, warehouses and tourists in single file. The company was bought by a Chinese scooter manufacturer and the original product was discontinued in 2020. The machine worked perfectly. That was never the question.","Excitement about the engineering, in the absence of a person with a problem. The self-balancing mechanism was a genuine and beautiful piece of work, and the investors who saw it demonstrated were, by their own accounts, dazzled by it. Nobody in those rooms was a commuter deciding between this and a bicycle, at a price of five thousand dollars, on a pavement where it was illegal. The demonstration answers the question *does it work*, and the question that decides the outcome is *who is worse off without it*."
31,4,The Science That Was Closed,Two,"Stones do not fall from the sky, because there are no stones in the sky.","The French Academy of Sciences, 1772","Thirty-one years. The Academy, with Lavoisier among the signatories, investigated reported meteorite falls and concluded that the stones were terrestrial, probably struck by lightning. Museums across Europe threw away their meteorite collections to avoid embarrassment. In 1794 Ernst Chladni argued the stones came from space and was mocked. In 1803 some three thousand of them fell on the town of L'Aigle in Normandy in front of witnesses. The Academy sent Jean-Baptiste Biot to investigate and the matter was settled in a season.","A prior belief strong enough to discard the evidence rather than the belief. Peasants had been reporting falling stones for centuries and were disbelieved on the grounds that peasants report all sorts of things. What is instructive is the direction of the reasoning: the Academy did not weigh the testimony and find it wanting. It knew there was nothing up there to fall, so the testimony had to be wrong, and the work of the investigation was to find out how."
32,4,The Science That Was Closed,Two,"We shall never be able by any means to study the chemical composition of the stars, or their mineralogical structure.","Auguste Comte, 1835",Twenty-four years. In 1859 Kirchhoff and Bunsen showed that the dark lines in the solar spectrum identify the elements present in the sun. By the end of the century the composition of stars was a routine measurement. Helium was discovered in the sun before it was found on earth.,"Confusing the impossibility of going there with the impossibility of knowing. Comte's argument was that we can never visit a star and never bring a sample home, both of which are still true. He treated physical access as the only route to knowledge about a distant object. The whole subsequent history of astronomy is the discovery that light carries the information without anybody needing to travel. The lesson generalises: an impossibility argument usually rules out one method and quietly claims to have ruled out the goal."
33,4,The Science That Was Closed,Two,"Physics is essentially complete. There may be a speck of dust here and a bubble there to examine, but the system as a whole stands secure.","Philipp von Jolly, 1874","Twenty-six years. Jolly said it to the young Max Planck, who was asking whether to study physics, and advised him to do something else. Planck went into it anyway. In 1900, to solve a problem about the radiation from a hot body that his teacher would have called a speck of dust, he introduced the quantum. Planck told the story himself decades later, without malice.","Mistaking the size of the remaining anomalies for the size of their consequences. The unexplained residue in 1874 was small in every measurable sense: a discrepancy here, a stubborn curve there. That is what an unexplained residue looks like just before a revolution. A mature theory has already absorbed everything it can, and what is left over is by definition what it cannot absorb. Small anomalies in a strong theory are not a sign that the theory is nearly done. They are the only place a new one can come from."
34,4,The Science That Was Closed,Two,"The more important fundamental laws and facts of physical science have all been discovered, and these are now so firmly established that the possibility of their ever being supplanted in consequence of new discoveries is exceedingly remote. Our future discoveries must be looked for in the sixth place of decimals.","Albert Michelson, 1894","Not the sixth decimal place. Radioactivity was found two years later, the quantum in 1900, special relativity in 1905. Michelson himself had already performed, with Edward Morley in 1887, the experiment whose null result relativity would explain. He won the Nobel prize in 1907 for the precision of his optical measurements. He never accepted relativity.","A confusion between precision and completeness. Michelson was the greatest measurer of his generation, and from inside that discipline the frontier genuinely does look like the sixth decimal place, because that is where his work lived. His own most famous experiment was a sixth-decimal-place measurement that broke the theory it was designed to confirm. Being the person who produces the crucial anomaly is no protection at all against failing to see it."
35,4,The Science That Was Closed,Two,"The straight lines on Mars are canals, dug by an intelligent race to carry water from the poles across a drying planet.","Percival Lowell, 1895","There are no canals. Lowell built an observatory in Arizona specifically to study them, published three books, and convinced a substantial part of the public. Better telescopes showed nothing. Mariner 4 flew past in 1965 and photographed craters. There are no canals. The lines were an artefact of the eye assembling faint, blurred detail into continuous features, a tendency later confirmed by experiments in which observers drew canals on featureless discs.","Observation contaminated by the hypothesis it was testing. Lowell was not lying and he was not careless. He was an experienced observer looking at the edge of what his instrument could resolve, which is the regime in which the brain supplies what the data lacks. Other astronomers with better sites saw nothing, and he explained that away by the quality of their seeing. Any observation that requires exceptional conditions to reproduce, and gets stronger the more you expect it, should be treated as evidence about the observer."
36,4,The Science That Was Closed,Two,"A new kind of radiation, N-rays, is emitted by most substances and can be detected as a change in the brightness of a spark.","René Blondlot, 1903","One year. Blondlot was a respected French physicist and the discovery followed close on X-rays, which had been real and astonishing. Within two years around a hundred papers were published on N-rays, mostly by French laboratories. In 1904 the American physicist Robert Wood visited Blondlot's laboratory, and in the dark removed the aluminium prism essential to the apparatus. Blondlot continued to report the readings. Wood published what he had done, and the field evaporated.","A measurement whose only instrument was human judgement of a faint change. Every safeguard that matters was absent: no blinding, no control, no way for the observer not to know what he was supposed to see. The hundred confirming papers are the important detail. Replication by people who share your expectation and your method is not evidence. A result that appears only in the laboratories that believe in it has told you where the effect lives."
37,4,The Science That Was Closed,Two,If we are to believe Wegener's hypothesis we must forget everything which has been learned in the last seventy years and start all over again.,"Rollin Chamberlin, 1926","Forty years. Alfred Wegener proposed continental drift in 1912; the American geological establishment rejected it at a symposium in 1926, of which that sentence is the summary. Wegener died on the Greenland ice in 1930 with the question closed against him. Seafloor spreading was demonstrated in the early 1960s, plate tectonics was established by about 1968, and geology did in fact have to start again.","A true objection allowed to settle a question it could not settle. Wegener had no mechanism: he could not say what moved a continent, and his own suggestions were wrong. That is a serious weakness and the geologists were right to press it. What they were not entitled to do was convert *we do not know how* into *it did not happen*. The coastlines fitted. The fossils matched, and so did the rock. Missing mechanism is a reason to keep looking. It is not a refutation, and the cost of treating it as one was forty years."
38,4,The Science That Was Closed,Two,Anyone who expects a source of power from the transformation of these atoms is talking moonshine.,"Ernest Rutherford, 1933","One night in Bloomsbury. Leo Szilard read the report of the speech in a newspaper the following morning, was irritated by it, and while waiting at a traffic light in Bloomsbury conceived the nuclear chain reaction. He filed a patent the next year. The first self-sustaining reaction ran in 1942, and the first bomb was tested in 1945, twelve years after the remark. Rutherford had split the atom himself and knew more about it than anyone alive.","Reasoning from the efficiency of the method he was using. Rutherford's technique was to fire particles at a target and hope for a hit, and by that route the energy you put in vastly exceeds the energy you get out, for ever. His arithmetic was right. What he had not conceived of was a reaction that supplies its own particles, and once you have that idea the accounting inverts completely. A rate argument is only as good as the mechanism it assumes, and a new mechanism does not respect it."
39,4,The Science That Was Closed,Two,"The universe has always existed, and matter is created continuously as it expands; the notion of everything beginning in a single explosion is not serious cosmology.","Fred Hoyle, 1949","Sixteen years. Hoyle coined the phrase *big bang* on the radio, apparently as a description rather than an insult, and it stuck to the theory he was attacking. The cosmic microwave background was found in 1965 and is very difficult to explain in a steady-state universe. Hoyle never accepted it, and argued against it for the remaining thirty-five years of his life. He was also, in the same period, the principal author of the theory of how stars manufacture the elements, which is one of the great achievements of twentieth-century science and is correct.","A metaphysical preference defended with technical skill. Hoyle disliked a beginning, partly on the grounds that it smuggled in a creation, and he had the ability to construct a serious alternative and to keep repairing it. The tell is that the theory kept needing repairs while the other one kept receiving unforced confirmations. A position that survives only by amendment, held by somebody clever enough to keep amending it, can last a lifetime."
40,4,The Science That Was Closed,Two,We have achieved sustained nuclear fusion at room temperature in a benchtop electrochemical cell.,"Martin Fleischmann and Stanley Pons, 1989","Nobody could reproduce it. They announced it at a press conference, before publication, and the world's laboratories spent several months and a great deal of money failing to reproduce it. The excess heat was not confirmed and the neutron signature, which fusion would require, was not there. Both were serious electrochemists, and neither recovered professionally.","An announcement made ahead of the checking, in a race. They believed a rival group was about to publish, and the press conference was a claim to priority. Everything that would normally have caught the error, peer review, blinded replication, the slow argument with sceptical colleagues, was scheduled to happen after the world had been told. The order matters more than the care: it is not that they were sloppier than other scientists, it is that they inverted the sequence in which sloppiness gets found."
41,5,"Doctors, Certain",Two,"Yellow fever is best treated by copious bleeding, repeated as often as the symptoms return.","Benjamin Rush, 1793","His patients died. Rush signed the Declaration of Independence and was the most famous physician in America. He treated the Philadelphia epidemic by removing enormous quantities of blood, sometimes several pints over a few days, along with violent purging. Mortality among his patients was appalling. He believed to the end of his life that he had saved the city, and he sued a journalist who said otherwise, and won.","A theory that could absorb any outcome. Rush held that fever was a disorder of excessive arterial action, so recovery proved the bleeding had worked and death proved it had come too late or been too timid. There is no result the patient could produce that would count against it. The single most useful question you can put to any strongly held position is what observation would change it, and the answer here, for twenty years, was none. Rush never asked it."
42,5,"Doctors, Certain",Two,"Doctors are gentlemen, and gentlemen's hands are clean.","attributed to Charles Meigs, 1854","It took eighteen years and a death. In 1847 Ignaz Semmelweis, working in a Vienna maternity ward, noticed that the wing staffed by doctors killed mothers at several times the rate of the wing staffed by midwives. The doctors came to the deliveries from the dissecting room. He instituted handwashing in chlorinated lime and the death rate collapsed. The profession rejected him, in Vienna and abroad. He was dismissed, deteriorated, and died in an asylum in 1865 at forty-seven, of an infection. Lister's antiseptic work vindicated him within a decade.","An accusation heard instead of a hypothesis. Semmelweis was telling obstetricians that they were killing their own patients with their hands, which was true and unbearable. He had no germ theory to explain it with. What he offered was a rebuke without a mechanism. His own manner made it worse; he wrote to his critics calling them murderers. Being right is not a strategy, and a finding that requires its audience to accept guilt will be tested more harshly than one that does not."
43,5,"Doctors, Certain",Two,"Cocaine is a harmless stimulant, useful against depression, indigestion, morphine addiction and alcoholism, with no habituation of its own.","Sigmund Freud, 1884","It ruined a friend of his. Freud published *Über Coca*, took the drug himself, and gave it to his close friend Ernst von Fleischl-Marxow to break a morphine habit. Fleischl-Marxow became one of the first documented cocaine addicts in Europe and died at forty-five. Freud quietly withdrew from the subject and the episode damaged his reputation for a decade.","A sample of one, and the one was himself. He felt better on it, which is what the drug does, and he reported the feeling as a pharmacological finding. The trap is particular. A substance that alters your judgement is being evaluated by your judgement, and the better it is at what it does, the more favourable the report. Personal experience is the weakest evidence available in precisely the cases where it feels the strongest. He was the experiment."
