n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
27,2,When Things Go Wrong,One,A smooth sea never made a skilled sailor.,English proverb,"Competence is built from trouble handled, not conditions avoided. The person everyone trusts in a crisis is always someone who has been in one, and there is no other way of acquiring it.","While you are managing something awful, note, privately, that you are acquiring the thing people will value you for later. It is not compensation. But the friend everybody rings when their life falls over is someone whose own life fell over once, and that is what is happening to you now."
28,2,When Things Go Wrong,One,"Weeping may endure for a night, but joy cometh in the morning.",Psalm 30:5,"The consolation here is structural rather than sentimental. Distress is being given a shape and an end, a night rather than a climate, and grief experienced as a night is a different substance from grief experienced as a life sentence.","At the worst of it, resist the urge to forecast. You are not predicting. You are tired. Give the thing one night. The identical problem at breakfast often turns out to be a job to be done rather than a hole you are in."
29,2,When Things Go Wrong,One,"Loss is nothing else but change, and change is nature's delight.",Marcus Aurelius,"Loss feels like a breach of the natural order, as though things were meant to stay and something has gone wrong. Aurelius turns it over: staying was never the arrangement, everything you have is on loan, and these were always the terms.","Too cold for fresh grief. Useful later. Months on, when you are still angry that something ended, try holding the thought that it was never yours to keep. It does not remove the loss. It removes the sense of having been cheated, which is the sharper half."
30,2,When Things Go Wrong,One,"To every thing there is a season: a time to weep, and a time to laugh; a time to mourn, and a time to dance.",Ecclesiastes 3:4,"There is a season for grief and it is not a failure of resilience to be standing in it. The expectation that you will have processed something by a reasonable date is modern, invented, and enforced by people who are not grieving.","Here is the way out of the rest of this chapter. If you have read all of the above and none of it helps yet, that is not evidence you are doing it wrong. Some things have to be lived through before they can be thought about. Put the philosophy down. Come back to it in the spring."
31,3,Anger and What To Do With It,One,"Anger, if not restrained, is frequently more hurtful to us than the injury that provokes it.",Seneca,"The original offence is finite. A rude email, a broken promise. What you do next can cost far more, and people lose jobs and marriages over their response to things that were, in themselves, survivable.","Before replying to something infuriating, ask which will cost more in a year: the thing done to you, or the thing you are about to do about it. If it is the second, you have located the actual problem. It is also the only one still under your control."
32,3,Anger and What To Do With It,One,The best answer to anger is silence.,German proverb,"Silence is not surrender, and it is not the silent treatment, which is an attack wearing a disguise. It is the refusal to supply fuel. An argument needs two people, and anger left without a partner tends to burn out inside a couple of minutes.","When someone is shouting, say nothing rather than something reasonable. Reasonable statements are also fuel; they give the other person things to take apart. Wait. Few people can sustain fury unaccompanied, and what comes after the silence is the conversation you wanted in the first place."
33,3,Anger and What To Do With It,One,Holding onto anger is like drinking poison and expecting the other person to die.,traditional,"Sustained resentment is a full-time occupation and the person you are angry with does not participate in it. They are having their dinner. You are the only one doing the work, and you are doing it to yourself.","Count the hours you have spent this month rehearsing an argument in the car, in the shower, at two in the morning, with somebody who has no idea the argument is taking place and would be baffled to hear about it. Then ask what those hours produced. This is not about forgiving them, which may well be inappropriate. It is about noticing who is paying, and it is you."
34,3,Anger and What To Do With It,One,"When angry, count to ten before you speak. If very angry, a hundred.",Thomas Jefferson,"Unglamorous advice. It works for a mechanical reason. The physical surge that makes you want to lash out has a short half-life. Wait it out and you are a different person, with access to judgement that was not available a moment ago.",Build the delay into the tools where you do the damage. Say out loud that you will answer tomorrow. Write the furious message in a blank note instead of the reply box. You are not trying to become a calmer person. You are putting something between the surge and the send button.
35,3,Anger and What To Do With It,One,Everything that irritates us about others can lead us to an understanding of ourselves.,Carl Jung,"Not every irritation is a mirror. But the ones out of all proportion, the flare of rage at a colleague's small vanity, often are, because we react hardest to the traits we are suppressing in ourselves or were punished for as children.","If someone's behaviour angers you far beyond what it warrants, ask why that fault and not another. A friend's showing off enrages you while their unreliability does not? The gap is about you, not them. The answer tends to be useful and uncomfortable, in that order."
36,3,Anger and What To Do With It,One,He who angers you conquers you.,attributed to Elizabeth Kenny,"Whoever can provoke you at will is, in practical terms, operating you. They pick the moment, you supply the reaction, and it works every time. That is control, whether or not they are doing it on purpose.","Identify the person who can get a rise out of you with a single sentence. A sibling, an ex, one particular colleague. Seeing the mechanism as a mechanism weakens it. Next time, watch the button being pressed while it happens, and the reaction becomes something you choose rather than something you produce."
37,3,Anger and What To Do With It,One,"It is not he who reviles or strikes you who insults you, but your opinion that these things are insulting.",Epictetus,"The sting of an insult is manufactured on receipt. Someone can say something appalling about you and it only lands if part of you suspects it might be true, or fears that other people will believe it.","After an insult gets under your skin, ask what would have to be true for it to be devastating. A stranger calls you a bad driver and you shrug. A stranger calls you a bad parent and you do not. The difference marks exactly where you are already unsure, and that is worth knowing about."
38,3,Anger and What To Do With It,One,A soft answer turneth away wrath: but grievous words stir up anger.,Proverbs 15:1,"The temperature of a conversation is contagious and it gets set at the beginning. Meet heat with heat and you have an argument. Meet it a register lower and the other person has to escalate on purpose, which most people will not do.","When someone opens with an accusation, answer below the pitch they set. Not sarcastically calm, which is worse than shouting. Just quieter. On the phone to a company that has overcharged you this is also more effective: calm people get better outcomes than furious ones, every time, from staff who deal with furious ones all day."
39,3,Anger and What To Do With It,One,"Anybody can become angry, that is easy; but to be angry with the right person, to the right degree, at the right time, for the right purpose, and in the right way, that is not easy.",Aristotle,"Aristotle is not telling you to eliminate anger. He thinks failing to be angry at real injustice is its own defect. What he is describing is precision: right target, right size, right moment.","Check the four things. Is this the person responsible, or the person in front of me? Is my reaction the size of the offence? Is now the moment? What am I trying to achieve? Most bad expressions of anger fail at least two, and it is the first."
40,3,Anger and What To Do With It,One,Whoever fights monsters should see to it that in the process he does not become a monster.,Friedrich Nietzsche,"Long opposition shapes you. Fight something for years, however justified, and you begin borrowing its methods, its tone, its contempt, until the cause is still good and you have quietly stopped being someone you would have admired at the start.","In any long-running conflict, the neighbour dispute, the workplace feud, the family rift, read your own messages once a month as though a stranger had written them. If they would sound cruel from the other side, they are cruel from yours. Being in the right does not launder the behaviour."
41,3,Anger and What To Do With It,One,Speak when you are angry and you will make the best speech you will ever regret.,Ambrose Bierce,"Anger makes you fluent. The words arrive fast, in good order, landing where they are aimed, because rage has been quietly cataloguing the soft spots of everybody you have ever lived with and can produce the file on demand. Which is why the speech is unforgivable.","Distrust your own eloquence in a row. If a devastating line arrives fully formed, that is not insight. It is ammunition you have been assembling for months. True does not mean sayable. Nobody has ever unheard the accurate cruel thing."
42,3,Anger and What To Do With It,One,"Anger is never without a reason, but seldom with a good one.",Benjamin Franklin,"There is always a justification available and it is sincere. The question is not whether you have grounds. It is whether the grounds are proportionate, or whether you have built a case to support a feeling that arrived first and briefed the lawyers afterwards.","Having explained to yourself exactly why you are entitled to be angry, notice that the explanation came second. Ask whether you would accept the same reasoning from someone else, about you. It sounds much weaker in that direction, and the weakness is the information."
43,3,Anger and What To Do With It,One,The greatest remedy for anger is delay.,Seneca,Not a resolution. Not a technique. Not a conversation. Time.,"Make one rule and keep it: nothing consequential within an hour. No sent messages, no resignations, no announcements at the kitchen table. You can still do all of it tomorrow. The only thing the rule removes is the version you would have produced at maximum heat, and that version was never the good one."
44,3,Anger and What To Do With It,One,To be wroth with one we love doth work like madness in the brain.,Samuel Taylor Coleridge,"Anger at people close to you is a different substance from anger at strangers. It comes tangled with love, disappointment and history, which is why it disorients you, and why the smallest domestic row can feel enormous while it is happening.","In a row with someone you love, say the sentence out loud: ""I'm angry and I don't want this to turn into something bigger."" It sounds stilted written down. It also interrupts the momentum, and it reminds you both that you are on the same side of something, which is the fact anger hides first."
45,3,Anger and What To Do With It,One,Always forgive your enemies; nothing annoys them so much.,Oscar Wilde,"Wilde is joking, and the joke contains the exit. Letting go is offered here not as a moral achievement but as the cheapest option available. You do not have to be big about it. You can be petty about it and still put it down.","If forgiveness feels like a gift you are unwilling to give, do not give it. Drop the matter for your own convenience instead, because carrying it is dull and it is eating your evenings. You may stop being angry without the other person having earned it, and without telling them you have."
46,4,Worry and the Things You Can't Control,One,We suffer more often in imagination than in reality.,Seneca,"The mind stages catastrophes in full detail and charges the body real distress for every performance. The event, if it ever happens, happens once. You will have sat through it forty times.","Keep a note on your phone of what you are dreading, with the date beside it. Read it back in three months. This is not for reassurance; it is for the record, and the record shows that most of what you rehearsed never arrived at all, while the parts that did arrive were handled by you, on an ordinary weekday, without any of the collapse you had budgeted for. Your own history is the only evidence your mind will accept."
47,4,Worry and the Things You Can't Control,One,"You have power over your mind, not outside events. Realise this, and you will find strength.",Marcus Aurelius,"The oldest sorting mechanism there is, and still the most useful. Some things answer to your effort. Some do not. Almost all wasted anguish is effort spent on the second kind.","Two columns. In the first, what you can do this week. In the second, what is being decided by other people, the weather, or an algorithm. Do the first column today. The second column does not get less frightening, and it stops pretending to be a task you are failing at."
48,4,Worry and the Things You Can't Control,One,"He who fears he shall suffer, already suffers because he fears.",Michel de Montaigne,"Anticipation is not a preview of the pain. It is an instalment of it. There is no discount later for having suffered early. You pay twice, once in advance and once on the day, if the day comes at all.","Catch yourself bracing for news that is a week away, and notice that you are spending the week. The result will be identical whether you dread it or not. That does not switch the feeling off. Said plainly, it sometimes loosens the grip enough to let you sleep."
49,4,Worry and the Things You Can't Control,One,"There is only one way to happiness, and that is to cease worrying about things which are beyond the power of our will.",Epictetus,"Epictetus is making a claim about where distress comes from. Not events, but the gap between what we demand of the world and what we can actually move. Close the gap and most of the misery goes with it.","Practise on something small, where you can feel the mechanism working. Traffic. A cancelled train. Somebody's opinion of your work. Letting go of little things you cannot move builds the muscle, and the muscle is there when the object is a hospital appointment."
50,4,Worry and the Things You Can't Control,One,Take therefore no thought for the morrow: for the morrow shall take thought for the things of itself. Sufficient unto the day is the evil thereof.,Matthew 6:34,"Not a recommendation to be reckless about the future. A limit on how much of it you carry at once. Today has its own difficulties, and they are enough. Tomorrow's will still be there tomorrow, and you will have a fresh day's strength to meet them.","When your mind starts stacking next month's problems on top of today's, say it out loud: not today's business. Then do the next thing on today's list. This is the practical version of one day at a time, and it works because of how little it asks."
51,4,Worry and the Things You Can't Control,One,How much pain have cost us the evils which have never happened.,Thomas Jefferson,Imagined disasters carry a real price and no corresponding benefit. Nobody thanks you afterwards for the year you spent worrying about a redundancy that never came. The cost was entirely yours and it bought nothing.,Give it a unit so you can see it. How many hours this month went on a scenario that has not occurred? Ten? Forty? Set those hours beside anything else you would like more time for. The comparison is uncomfortable and it is the most persuasive argument available.
52,4,Worry and the Things You Can't Control,One,The mind that is anxious about the future is miserable.,Seneca,"Not ""will become miserable"". Is. Already. Anxiety about what is coming is not something you endure on the way to a resolution. It is the misery itself, happening now, using up a real day of your life.","If you are waiting for something to be settled before you can feel all right, check how long you have been waiting. Months? Then the resolution is not coming in the shape you want, and the job is to find a way of living decently inside the uncertainty, because the uncertainty is where you live."
53,4,Worry and the Things You Can't Control,One,Worry often gives a small thing a big shadow.,Swedish proverb,"Worry distorts scale rather than inventing dangers. The awkward thing you said, the unanswered email, the noise the car has started making. All real. All small. All rendered at a size with no relation to their importance.","Say it out loud to somebody in one sentence. You already know what they will say: it sounds fine. The gap between how it feels inside your head and how it sounds spoken aloud in a kitchen is the shadow, and saying it is generally enough to collapse it."
54,4,Worry and the Things You Can't Control,One,"Some of your hurts you have cured, and the sharpest you still have survived.",Ralph Waldo Emerson,"You have a track record and you never consult it. Every hard thing in your past was, at the time, an unbearable unknown. You are here, reading this, which puts the survival rate so far at one hundred per cent.","In the middle of the current crisis, deliberately recall the last one. What you were certain you could not handle two years ago, and how it went. You are not looking for a lesson. You are looking for evidence of competence. Worry insists you are facing this without resources; your history says otherwise."
55,4,Worry and the Things You Can't Control,One,"Rule your mind, or it will rule you.",Horace,"Left to itself the mind picks its own subjects, and its preferences are not aligned with your interests. It will choose the humiliating memory and the unanswerable question over anything pleasant, and it will do that all night if you let it.","Treat attention as something you point rather than something that happens to you. When the loop starts, give the mind a job instead of an argument: name five things in the room, do a crossword, read something difficult enough that following it takes the whole of you, because a mind fully occupied with a task cannot simultaneously run the other thing. You cannot argue a loop into stopping. You can occupy the machinery it runs on."
56,4,Worry and the Things You Can't Control,One,Anxiety is the dizziness of freedom.,Søren Kierkegaard,"A great deal of anxiety is not fear of a bad outcome but vertigo at the number of possible ones. Standing at the edge of a genuinely open choice, the move, the career change, whether to have children, produces something close to nausea. That is the freedom, not a warning.","Facing an open decision and feeling sick about it, ask whether you are frightened of a specific consequence or of the openness. If you cannot name a consequence, you are dizzy rather than in danger. Narrowing the options, even arbitrarily, restores your balance."
57,4,Worry and the Things You Can't Control,One,Nothing is miserable unless you think it so.,Boethius,"Boethius wrote this in a cell, awaiting an execution that duly arrived, which is worth knowing before dismissing it as the sort of thing said by people to whom nothing has happened. His claim is that our assessment of a situation, more than the situation, sets how much it hurts.","Describe the thing without adjectives. ""I have a meeting on Thursday about my performance."" Now notice what you had added: humiliation, threat, the beginning of the end. The bare version is manageable. Nearly everything unmanageable was in the adjectives."
58,4,Worry and the Things You Can't Control,One,Worry is interest paid on trouble before it falls due.,William Ralph Inge,"You are servicing a debt that may never be called in, at a rate you did not agree to. And unlike real interest, none of it reduces what you will owe if the trouble does arrive. It is a pure loss.","When the payments start, ask whether the trouble is due or merely possible. If it is possible, you are paying early on a debt that might not exist. Naming it as a transaction rather than a duty makes it easier to decline, at least for tonight."
59,4,Worry and the Things You Can't Control,One,To conquer fear is the beginning of wisdom.,Bertrand Russell,"Russell thought most bad thinking, superstition and cruelty grow out of fear, and that seeing clearly requires having settled with your own frightened mind first. You cannot look at a situation accurately while braced against it.","Before a decision you are anxious about, check whether you are choosing the best option or the least frightening one. They are frequently different. If every option you are seriously considering avoids the same fear, you have not been choosing at all."
60,4,Worry and the Things You Can't Control,One,A trouble shared is a trouble halved.,English proverb,"Worry lives on privacy. Kept inside your head it grows unchecked, immune to correction, and develops a persuasiveness that would not survive one honest conversation with somebody who knows you.","Everything above has a limit, and this is it. If none of it has worked and the loop keeps running, stop managing it alone. Tell someone tonight, properly. And if it has been months, ring the GP. Persistent worry is not a philosophical problem, and there is no prize for handling it privately."
61,5,Wanting Less,One,"Wealth consists not in having great possessions, but in having few wants.",Epictetus,"Two roads to the same destination. Raise what you have, or lower what you require. The second is faster and cheaper, and it cannot be taken away from you by a recession or an employer.","Next time money feels tight, before doing the sums on earning more, list what you currently pay for that you would not miss in a month. Not out of thrift. Just to see the number. The gap tends to close faster from that side."
62,5,Wanting Less,One,A man is rich in proportion to the number of things he can afford to let alone.,Henry David Thoreau,"Everything you own has a running cost in attention as well as money. It has to be maintained, insured, stored, updated and thought about. Wealth includes the things you successfully declined.","Price the upkeep, not the purchase. The boat is the mooring, the insurance and every weekend from April. The second home is a second set of everything that can break. Sometimes it is still worth it. Decide using the real figure rather than the one on the label."
63,5,Wanting Less,One,"It is not the man who has too little, but the man who craves more, that is poor.",Seneca,Poverty here is a relationship rather than an amount. Somebody comfortable and consumed with wanting more experiences their life as scarcity. Somebody with less and no craving does not. The bank balance is not the thing being measured.,"Ask what figure would be enough. Be specific. Most people cannot answer, and that is the finding. If every number you name is followed by ""and then I'd want"", the target is not a number, and no amount of earning will ever arrive at it."
64,5,Wanting Less,One,Contentment is natural wealth; luxury is artificial poverty.,attributed to Socrates,"Luxury manufactures the need it then meets. Fly business class once and economy becomes an ordeal it never used to be. Every upgrade quietly moves the floor, and the new floor is where you now feel deprived.","Be careful with treats that could turn into standards. The occasional taxi is a pleasure; taxis by default make the bus feel like hardship. Keep some ordinary things ordinary on purpose, so the good version stays good instead of becoming the minimum."
65,5,Wanting Less,One,Enough is as good as a feast.,English proverb,"Past sufficiency, more stops adding much. The second helping is worse than the first, the fourth bedroom becomes storage, and income beyond comfort mostly buys the anxiety of protecting it.","Find where your own curve flattens. There is a level of spending on food, housing or holidays beyond which the improvement becomes so faint that you would fail a blind test between the good version and the expensive one. Locate it honestly, stop climbing in that category, and move the effort somewhere it still registers."
66,5,Wanting Less,One,"Very little is needed to make a happy life; it is all within yourself, in your way of thinking.",Marcus Aurelius,"Written by a Roman emperor with access to absolutely everything, which is what makes it worth reading. He had the means to test the alternative thoroughly and reported back that the good parts were mostly internal.","Think of your best day this year. Not the most expensive. The best. Almost nobody names a purchase; it is people, weather, a walk, something absurd that happened at exactly the wrong moment and has been repeated at every family gathering since. Notice how little of it money supplied, then look at where your money goes."
67,5,Wanting Less,One,"Poverty wants much; but avarice, everything.",Publilius Syrus,"Need has a ceiling. Greed does not, because it was never about the objects in the first place: it is about a feeling of insufficiency that acquisition cannot reach, which is why buying the thing works for a fortnight and why the wealthiest people you can name are not the most satisfied ones.","In your own wanting, separate the thing from the feeling you expect it to deliver. Want a bigger house because yours is too small? Buy one. Want it because of how you imagine feeling inside it? Be aware that the house has never once delivered that, to anybody."
68,5,Wanting Less,One,Nothing in excess.,inscription at Delphi,"Two words, carved above a temple, and among the most durable advice anyone has produced. Note that it does not say ""nothing"". Excess is the problem, and excess is defined by its consequences rather than by any particular quantity.","Apply it where you would rather not. Work, exercise, tidiness and self-improvement all have excessive forms that look like virtue from outside. The test is not how much you are doing. It is what the doing has started to crowd out, and anything eating your sleep is over the line."
69,5,Wanting Less,One,Comparison is the thief of joy.,attributed to Theodore Roosevelt,Satisfaction is calculated against a reference point. Let other people set that point and you have handed them control of how you feel about a life that has not otherwise changed at all.,"Work out which specific inputs leave you dissatisfied with what you have. For most people it is fifteen minutes of one app, or one particular acquaintance. You are allowed to reduce your exposure. That is not avoidance. It is declining to run a comparison you never agreed to."
70,5,Wanting Less,One,"A man there was, though some did count him mad; the more he cast away, the more he had.",John Bunyan,"Bunyan means it spiritually, about generosity, and it holds up on the flat too. Giving things away, money, time, help, produces something that acquiring the same things does not. Nobody has fully explained why. It happens anyway.","When you feel short of something, give a small amount of it away. Short of time? Spend twenty minutes helping somebody. Short of money? Give a little. The logic is wrong and the result is dependable, which is worth more than the logic."
