n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
11,1,The First Hour,One,"Some people are staying. Let them, and stay with them if that is yours to do.","Joyce Trent, hospice nurse, day 2","Not everybody can be moved. There is a ward of that in every town and there was one on Beckett Street. Nine people who could not walk. Two on oxygen. One who was four days from the end of a long illness that had nothing to do with any of this. Every rule in this chapter says leave. Trent's answer is that the arithmetic is correct about survival and has no jurisdiction over anything else. She stayed. She kept nine people comfortable for eleven days. In the circumstances of that fortnight that is a piece of work I cannot get to the bottom of. She wrote this on the ninth day, in a drug chart.","It is a rule that can be used on you. Up and down the county in that first fortnight, people were told they were staying, in a kind voice, by people who were leaving. The sentence in this entry is exactly the sentence they were told. Two of Trent's own nurses stayed because she had. They were twenty-four and twenty-six and they could have walked out on the first morning. A choice that is noble in the first person is coercion in the second, every time, with no exceptions I have found. So read it in the first person or do not read it at all. Nobody gets to make this one for anybody else. If you are reading it because somebody handed you the book open at this page, go."
12,2,What You Believe,One,Write the date before you write anything else.,"Nell Okafor, librarian, day 5","Time stops behaving. Without a written date the weeks fold up, and the folding costs you three things that matter. You lose the count on a bite, which is the difference between watching somebody and burying them. You lose the season, and this is a book about seasons. And you lose the ability to put two accounts side by side and see which came first. Okafor started the Long Room ledger on the fifth day with the date and the weather and nothing else, because that is what a librarian does when the world ends. Everything in this book has a day count on it because of her.","She kept the record and did not keep herself. There is no rule in her hand about food and she was seven stone in the second November. Beyond that, dates become a fetish. A group at Otley ran a calendar that had drifted nine days by the second spring. They planted on a written date instead of on a hedge coming into leaf, and lost most of a crop to a frost that the ledger said was over. The date is a tool for comparing accounts. The hedge is the authority on the hedge."
13,2,What You Believe,One,A rumour that tells you where to go is a rumour somebody wants you to be.,"Idris Pyle, day 61","Ask what a piece of information does when it enters a hundred heads. Most true things do nothing much. But a rumour that moves people moves them all in one direction, at one time, along one road, carrying everything they own, and there has never been a shortage of men who find that arrangement convenient. Pyle knew because he had spent his working life in the trade. Three of the four big movements in this county in the first year had somebody standing at the far end of them. The Kendal camp is the one everybody knows. There was no camp. There had never been a camp.","He was right and he used it. Two of the four movements were started by Pyle. Then there is the cost to everyone who believed the rule too well. A family on Dewsbury Road turned down three true offers of shelter in one winter, because each of them told them where to go. Two of the four died a hundred yards from a house with a fire in it. Suspicion of good news is expensive and it is not free of charge just because it is clever. Ask who benefits, then go and look at the place from a distance, then decide. Do not stop at the first step and call it wisdom."
14,2,What You Believe,One,Believe the weather. Nothing else.,"Jonah Kite, radio operator, day 12","It is a rule about verifiability, and it has the merit of being usable by somebody with no training and no time. You can check a forecast by walking outside. You cannot check a report about Harrogate without going to Harrogate. Kite ran a set on car batteries from a bungalow at Guiseley and listened to everything that came over for eleven months. This is what he had to show for it. The weather was right about four times in five. Nothing else on the air was better than a coin.","There was one broadcast in the first year that was worth acting on, and it was not the weather. On the ninth of April a woman read out, four times, that the Aire valley was going to be opened up by a dam release, and Kite did not act, because it was not the weather. He lost his set and his bungalow and one of his two neighbours. A rule for filtering noise will filter the signal too, and it will do it on the one day of the year when that matters. Keep the rule and add a second sentence: anything that repeats itself four times gets a look out of the window."
15,2,What You Believe,One,Nothing you hear about them is true unless you can name the person who watched it happen.,"Yusuf Errai, veterinary surgeon, day 30","Look at what this rule killed. That it travels on the air. That fire frightens them, which cost a barn and nine people at Collingham. That running water stops them, which is a folk belief about something else entirely and which put two men in the Wharfe in February. That a fever means you are turning, which meant that in the first winter people were being put out of doors for having flu. Not one of those had a witness attached to it. Every one had a confident man attached to it. Errai's rule is the cheapest test there is, and it takes one question, and the question is who saw that.","The best thing anybody discovered has no author. Nobody knows who first worked out that they leave you alone if you smell enough like them. There is no witness, no notebook, no name. It works. It has saved more people than any other single fact in this manual. Errai's rule would have thrown it away. The rule is right about claims and wrong about techniques, and the difference is that a technique can be tested behind a wall by one person in an afternoon. Test what you can test. Doubt what you cannot."
16,2,What You Believe,One,Two sources or it does not go on the board.,"Rob Hatherleigh, logistics corporal, day 44","He ran a board in the Wetherby depot with three columns: heard, confirmed, acted on. Nothing crossed from the first column to the second without a second mouth that had not spoken to the first. It is the discipline of an operations room and it is the reason his group never once walked into an empty camp, in a year when four hundred people did. When a group is deciding whether to move eleven miles on a stranger's word, a board on a wall is worth more than any amount of good judgement in one man's head.","Two people repeating one rumour is one source wearing a coat, and telling the difference takes exactly the skill the board was built to replace. Worse is what it does to speed. On day 202 a boy came in and said the Aire had come over at Kirkstall, and there was nobody to confirm him. It sat in the first column for two days. By then eleven people were in the water. Hatherleigh added a line to the board that night, in different ink, and it is still there: a warning goes up on one source and comes down on two."
17,2,What You Believe,One,Ask them what they were doing when they saw it.,"Marcus Okon, police sergeant, day 18","It is the oldest question in the trade and it works because of how memory is built. A person who saw a thing was in the middle of something else at the time: carrying a box, arguing, looking for a dog. That detail comes back with the event attached to it and it comes back cheap and specific. A person who is repeating a story has no such detail, because there was no such afternoon. Okon separated true accounts from passed ones at the Hunslet gate for eight months, and it took him one question and about ten seconds.","Anybody good enough to be worth catching has thought about this. Pyle's accounts are full of the dog and the box, and they are full of them because he understood what the question is for. And the test punishes a particular kind of honest person: the shocked one, who has no detail at all, and whose account is flat and thin because it happened three hours ago to them and they have not slept. Twice in this book somebody was turned away at a gate for telling the truth badly. Use the question to find people to trust. Do not use it to find people to refuse."
18,2,What You Believe,One,The map is four years old. So are you.,"Callum Reith, day 1,340","Reith is the only person in this book who has spent more of his life in this than before it, and it makes him worth listening to on a subject none of the rest of us are honest about. A map is a claim about a place, made at a date, by somebody who is not there now. The Kirkstall terraces are a field. Two viaducts are down. There is a lake where the retail park was, and it is on no map and it is nine feet deep. He walks with a map and treats it as a rumour with contours.","He went the other way with it and stopped believing written things at all, which is a young man's error and an expensive one. In the third summer he walked into the works at Knostrop, which is marked, clearly, on the four year old map, as a sewage treatment plant. He came out with something in a cut on his shin that nearly took the leg, and he was carried nine miles by two people who could ill afford the day. A map is out of date about buildings. It is not out of date about the ground, or the water, or where the poison was."
19,2,What You Believe,One,Say that you do not know.,"Priya Raghunathan, A&E nurse, day 96","She came out of a trade where the words are said out loud and where saying them is a mark of competence, and she brought the habit with her into a world running on men who were certain. Here is the mechanism. A group can absorb the news that its leader does not know something. What it cannot absorb is discovering, later, that the leader did not know and said otherwise, because after that nothing that person says can be spent. Uncertainty said out loud is cheap. Uncertainty found out is the end of your authority in one afternoon.","There is a moment when a group needs a decision more than it needs an accurate account of your confidence. She hit it at Wetherby in the second January, with fourteen people standing in sleet waiting to be told which way. She told them what she did not know, at length, and she was completely honest, and they stood in it for forty minutes and two of them lost fingers. Say you do not know, then say what you are going to do anyway. The second half is not optional and it is the half she left out."
20,2,What You Believe,One,Anybody certain about the biology has never watched one turn.,"Nadia Rahman, pharmacist, day 40","In the first spring every third man was an expert. The confidence was inverse to the exposure, exactly and reliably, and it is the cleanest example of the effect I have ever seen. The people who had sat with somebody through the six days would not tell you the shape of it, and would say the thing about how it varies, and were hedging because the world was hedging. Rahman had counted out other people's medicines for nineteen years and had a professional's ear for a man who has read one thing.","It disarms the person who did the work. Errai had the transmission route correct on day three, from evidence, and was dismissed for months by people quoting Rahman's rule at him, because he was certain and certainty was the tell. She has said since that it is the thing she regrets. Doubt a man's certainty, then ask him what it is built on, and if the answer is a pattern he counted himself then he is not the problem. The rule catches the confident. It does not distinguish between the confident and the correct, and you have to do that part yourself."
21,2,What You Believe,One,Keep a book of what you were wrong about.,"the Skipton radio log, day 150","Three men with a generator broadcast the Kendal camp for eleven days and about four hundred people walked north on it. What they did afterwards is the reason they are in this manual. They kept a second book, read out every Sunday, of everything they had said that had turned out to be false. By the second year they were the only voice on the air that anybody in three counties trusted. You cannot get better at judging a claim without a record of your own misses, because memory quietly deletes them. Write them down and the deleting stops.","A list of a man's errors, in his own hand, is a weapon lying in the open. Skipton's book was used in the second winter to break the youngest of the three operators in front of a room of forty people, by somebody who wanted his position, and it worked, and he left. If you keep the book, keep it for one person. A group's book of its own errors is a fine idea and I have never once seen it survive a disagreement about food."
22,2,What You Believe,One,You are allowed to believe something because you need to.,"Sister Agnes Moray, day 300","Four years is a long time to run on evidence alone and I have not met anybody who managed it. Moray's position, and she is careful about it, is that a belief has two properties and they are separate: whether it is true, and what it does to the person holding it. The man on Tong Road who is sure his daughter reached Ireland gets up in the morning. The one who worked out the odds does not. She is not telling you the odds are wrong. She is telling you that you are a piece of equipment that has to keep working, and that the maintenance of it is a legitimate thing to spend belief on.","The moment a belief starts costing anybody anything, it has stopped being maintenance and become a plan. Eleven people walked to Holyhead in the second autumn on a belief of this kind and four came back. And the sentence is the exact sentence that a certain sort of man says at the beginning of the thing he builds around himself. There have been two of those in this county and one of them is still going. Moray's own guard against it is worth copying. She holds one belief this way, she knows which one it is, she can name it, and she has never once asked anybody else to hold it with her."
23,3,Moving,One,You cannot outwalk them. You can only stop being worth following.,"Ewan Tait, mountain rescue, day 20","Tait did the sum on the second Sunday, on the back of a leaflet, and it is the sum at the top of this chapter. Once you accept it, everything about how you move changes and it changes for the better. You stop thinking in miles and start thinking in corners. You stop grinding out an extra four miles at dusk, which is exactly when the ground gets worse and your judgement goes. You spend that energy on breaking line of sight, once, properly, and then walking away quietly. The people still alive in this county move in short deliberate legs between places they cannot be seen from. Nobody is doing forced marches. The forced marches are all in the notebooks that stop.","It is a rule for one of them, or four. It is not a rule for a drift. A drift of two thousand does not lose you, because the ones at the back are following the ones at the front, and the front is a mile wide. There is no corner that takes you out of sight of all of it. Tait knew this and wrote it, and the sentence that got copied around three counties is the short one, without the qualifier. I have had it quoted at me by a man who was proposing to walk across the front of a drift on the strength of it. Against a crowd, distance is the only thing that works, and you had better start early and you had better have somewhere to be."
24,3,Moving,One,"Twelve miles a day with a load, and no arguing about it.","Rob Hatherleigh, logistics corporal, day 12","It is a real number and it comes from a century of people measuring what a column can do day after day without falling apart. Twelve miles with weight is sustainable. Fifteen is a good day. Twenty is a day you pay for over the following two, and armies worked this out long before any of us needed it. The value of writing it down is that it stops the argument at four in the afternoon, when somebody is feeling strong and wants to push to the next town. The person feeling strong is never the person who will fail. Hatherleigh's group made the same distance every day for five weeks and arrived able to work.","It is a soldier's number, taken from fit men of similar age carrying similar loads, and his group had a woman of sixty-three, a boy of nine and a man who had been a bank clerk. A column moves at the speed of the person who is struggling, and if the number on the wall says twelve then what happens is not that everybody does twelve. What happens is that the woman of sixty-three does twelve and is destroyed by it, in silence, for four days, because she can read the number too. Set the day's distance from the slowest pair of legs and set it out loud. Then write that number on the wall."
25,3,Moving,One,Never the road. The thing beside the road.,"Fen Doherty, poacher, day 30","A road is the best navigation there is and it costs you everything else, because it is a corridor. Every walker, every drift and every man with a rifle and an idea is using the same corridor for the same reason. What Doherty worked out in his first fortnight is that you can have the navigation without the corridor. Walk the hedge line, the ditch, the field margin, the strip of scrub inside the fence. You are forty yards off. You can see the road and it cannot see you. You keep the direction and you keep the cover, and if something comes down the tarmac you lie down in a ditch and it goes past. He crossed the county four times in the first year and was seen twice.","It is half the speed on a good day and a third of it on a wet one, and a hedge line in February is a serious piece of work. The margins are also where everything is: the wire, the old wells, the drainage cuts under the grass, the badger holes. Doherty went into a rabbit hole on the flat, in daylight, in the second spring, and put his ankle out nine miles from anybody. He says himself that a man on the road would have been at Tadcaster by four. The road when you are strong and the time is short and you can see a long way. The hedge the rest of the time."
26,3,Moving,One,Follow the cut.,"Bill Cattermole, lock keeper, day 25","A canal is the best walking in England and it always was. It is flat, because it has to be. It is waymarked to the quarter mile. It goes between towns without going through them. There is water in it, there are bridges every half mile that let you swap sides, and there are gates and locks that make a natural place to stop and see what is behind you. Cattermole had worked the Leeds and Liverpool for thirty-one years and could walk it in the dark, and eleven people came down it with him in the second April and every one arrived.","A towpath is a bottle. On one side is a hedge or a wall and on the other is the cut, and if something comes at you from both ends of a straight you have two options and one of them is the water. Here is the part people learn once. They do not drown. They do not float, they do not panic and they do not need to breathe. What happens when one goes in the canal is that it walks along the bottom. It comes out on the far bank six or seven minutes later, and it comes out where you are. Two of Cattermole's eleven found this out in the same afternoon. The cut is the best road in the county and it is the worst place to be surprised."
27,3,Moving,One,Boots off at every stop. Every stop.,"Priya Raghunathan, A&E nurse, day 33","Skin that is wet for long enough stops being skin. It goes white, it goes soft, it comes off in sheets with the sock, and then you are a person who cannot walk in a world where walking is the only thing there is. Raghunathan saw four of these in one week in the first April and wrote the rule that night. Off, out, wrung, feet dry in the air for ten minutes, dry pair on, wet pair inside the coat against the body where they will be half dry in two hours. Ten minutes an hour is expensive. A foot is more expensive, and unlike almost everything else in this book, a ruined foot cannot be traded for, prayed over or fixed later.","There is a stop where you cannot afford eight minutes and you will not know it is that stop until it is. A man called Devlin died at Micklefield in the second November sitting on a wall with both boots off and both socks in his hands, and he had done everything right for two hundred days. The rule needs its exception said out loud so that people can use it: boots off at every stop where somebody else is watching the ground. Alone, or with one other, you dry your feet at the place you are sleeping and nowhere else."
28,3,Moving,One,Move at four in the morning.,"Kit Anand, courier, day 15","Four in the morning is the coldest hour of the day, and cold is the one thing that reliably takes them apart. Below four degrees they are slow and stupid. In a hard frost they stop where they stand and become street furniture that you walk around. So the coldest hour is the hour when a thing that is faster than you is not faster than you. It is also the hour when every human being for nine miles is asleep, which in this county matters at least as much. Anand had been riding a bike round this city at that hour for six years before any of it and knew the streets in the dark better than in the light.","You cannot see, and everything in the last four entries about the ditch and the wire and the ankle is four times as likely in the dark. The cold that slows them slows you first and slows you more. You are the one who has been asleep and is now walking at two miles an hour with no breakfast. Hypothermia does not need a hard winter to work on a thin person at four in the morning. And in July four in the morning is fourteen degrees, and they are as quick then as at noon. This is a rule for October to March. In summer it is just walking in the dark for no advantage, and Anand herself stopped doing it in the second June."
29,3,Moving,One,"Carry the means to drink, not the drink.","Gwen Prydderch, water engineer, day 55","Water is two and a bit pounds a litre and you need three or four litres a day, and if you carry that you are carrying eight or nine pounds of the twenty-five you can carry at all. But this is England. There is water every mile, in gutters, streams, tanks, roofs, radiators and the header tank of every loft you pass. What you lack is not water, it is water you dare drink. Prydderch carried a litre, a filter, a bottle of tablets and a small pan, which came to under three pounds, and she drank six litres a day for two years and was never once ill. The weight you save goes into food, which is the thing there is genuinely not enough of.","Means fail and water does not. A filter clogs, and it clogs without warning on the day you push it through silt. Tablets get wet. A pan needs fire and fire is chapter five's problem. In the second August there was a stretch across the flat land east of here with twenty miles and nothing in it, in a summer when everything standing had gone green and foul. The man carrying four litres of stupid heavy water walked it. The two people carrying filters did not. Carry the means. Then carry a litre anyway, and be aware of what it is for, which is the day the means let you down."
30,3,Moving,One,Walk to somewhere. Never away from something.,"Lila Semenova, climber, day 8","Retreat has no end condition. That is the whole argument and it is a good one. A group that is moving away from a thing will keep moving, because there is no distance at which anybody can say we have arrived. So it walks until it is too tired to make decisions, and then it makes one. A named place fixes that. It fixes the day's distance. It fixes the direction when you are tired. It gives you something to talk about at night that is not what you left. And it lets the argument happen at the map, and not at four in the afternoon in the rain. It does not have to be a good place. It has to be a place with a name.","A named place is a thing you press on towards, and everybody who has climbed knows what that does, and Semenova knew it better than anybody in this book and did it anyway. Her group had Malham in their heads. They kept the number of days it would take and they kept it after the weather turned and after the older of the two brothers started coughing. Turning back means admitting the plan was the problem, and the plan was hers. They got to Malham. Two of the five got to Malham. A destination is a tool for making decisions and it becomes, without anybody noticing the hour it happens, a reason not to make them."
31,3,Moving,One,Nothing in the bag that you have not carried up a hill.,"Pearl Adjei, bus driver, day 6","Everything is light for the first mile. That is the trap. It is why every abandoned pack on every verge in this county has the same four things in it, and why the verges of the first spring were a museum of what people thought they needed on a Tuesday. Adjei loaded her bag on the second day, walked it up the hill at Beeston and back down, and took out a third of it. She did that three times over a fortnight, until what was left was what she could carry all day. Twenty-five pounds is a load. Thirty-five is a load you will put down in a hurry one day, and the day you put it down is the day you needed it.","Watch what people cut. They cut the thing they have not used yet. The things you have not used yet are the medical kit, the spare socks and the second knife, and those are the items whose entire purpose is the day that has not happened. Adjei cut her kit down to a beautiful weight over three weeks and had no dressings in it at all when a woman in her group opened her hand on a gate in June. Weigh the bag. Then take the medical kit out, put it on the floor, and pack it first, and let everything else compete for what is left."
32,3,Moving,One,Run for the corner. Then walk.,"Callum Reith, day 900","It is the practical form of the sum at the top of this chapter. Running does not get you away, because nothing gets you away. Running gets you round the corner, over the wall, into the alley, out of sight, and then its whole job is done. Continuing to run is now working against you, because running is loud, and loud recruits. The thing you have just lost has friends within earshot who have not seen you at all yet. Sprint for as long as it takes to break the line. Then stop, breathe through your nose, and walk out of the area at a speed that makes no noise on gravel. Reith has done this several hundred times and he is twenty years old and he is very hard to kill.","The corner has to be a real corner. A corner that leads into a yard is not a corner. It is a room with a door in it. The whole method depends on knowing what is round the thing you are about to run round, which means it belongs to people who know the ground. Reith grew up on this ground. The woman he was with in the second winter did not, and she could not do the second half of it. She kept running because everything in her body was telling her to. The noise of it across two hundred yards of car park brought in what was in the multi storey. He got round the corner and walked. She did not. He has written about it once and I am not going to add anything to it."
33,3,Moving,One,Stop walking.,"Maggie Lunt, hill farmer, day 400","The roaming years killed more people than they saved and the notebooks are not subtle about it. Walking is exposure, every day, all day, and it produces nothing: no store, no crop, no roof, no fence, no relationships with anybody who might help you in February. Lunt watched three groups pass her gate in the first year, all of them going somewhere better. She was still on her land when the third of them came back past, going the other way, with fewer people in it. Everybody alive round here at scale is somebody who stopped. The rule gives you permission to be the person who is not moving, in a year when moving looked like the only competence there was.","She stopped on eleven acres with a spring on it, a stone barn, walls she could see over and a slope that meant nothing could come at her out of dead ground. That is not stopping. That is stopping somewhere, and the somewhere is doing all the work in the sentence. Two settlements I could name stopped in the wrong place and stayed out of the same instinct. They defended it past the point where anybody with clear eyes would have walked out, and were finished in the second summer inside a week. Stopping is right. Being unable to leave the place you stopped is the same disease as never stopping at all, and it is chapter four's subject, and Lunt keeps a bag packed by her door to this day."
34,4,"Doors, and Where You Sleep",Two,Count the doors before you count the exits.,"Terrance Bello, locksmith, day 9","Bello's point is that people survey a building for how things get in, which is a list of doors, and then believe they have surveyed it. The useful list is a different list with different members. An exit is a door you can go through, in the dark, in a hurry, carrying somebody, with whatever tool is in your pocket. A door you have screwed, barred, filled or bricked is not on that list any more. He walked buildings with two counts in two columns and made people say both numbers out loud. In a leisure centre, a chapel and two schools those numbers came out very far apart.","He counted eleven doors in the leisure centre at Cottingley and made all eleven fast. When the fire took the east stand there were eleven doors and no exits, because he had welded the difference out of the building. That is the whole of it, and he was the best man at that trade in this half of the city, and he had been reasoning correctly the entire way. What he lacked was a rule about which of the two numbers is allowed to reach zero. Make the doors hard. Leave two of them, on different walls, that a frightened person can open with their hands, and tell everybody in the building which two they are."
35,4,"Doors, and Where You Sleep",Two,Wedge. Do not lock.,"Marcus Okon, police sergeant, day 55","A wedge under a door that opens towards you is close to unbeatable by anything without a shoulder and a plan, and it has four properties a lock does not. It is silent going in. It needs no key, so nobody is ever the wrong side of it. It works on any door in any building you walk into, including the one you have been in for eleven minutes. And it comes out with a kick when you have decided to go, which no bar, screw or barricade does. Okon carried six of them cut from a fence post and got through the whole of the second year on nothing else.","Wedges want a floor. On carpet they ride. On a worn stone flag they skate. On a door with a quarter inch under it they do nothing at all, and you find this out at two in the morning. They are also a fine defence against a push and a poor one against a sustained lean. That is what a crowd is. A crowd does not push. It arrives and continues to be there. Okon's own note is that a wedge buys you between forty seconds and four minutes, and that the number is not the point. The point is that the forty seconds are yours to use, and if you have not decided in advance what you are going to do with them then you have bought nothing."
36,4,"Doors, and Where You Sleep",Two,Glass is not a wall. Glass is a curtain.,"Oz Prentice, scaffolder, day 22","Go and look at a house that was lost in the first year and the door is nearly always intact. People fortify what they think of as the way in. The way in was the bay window in the front room, four feet of nine hundred millimetre float glass that a wheelie bin goes through by falling on it. Prentice had spent twenty years working outside buildings and had a glazier's view of what a house actually is, which is a light frame with big holes in it and some plaster. His rule reorders the work: the ground floor openings first, all of them, before anybody touches a door.","He boarded a whole ground floor in Armley in three days and then had to live in it. A house with every opening blinded is a house where nobody can see out. Not being able to see out is worse than most of what you were afraid of seeing. Every decision about going outside is now made blind. The people in that house began to go out to find out what was happening, which is the exact behaviour the boards were meant to prevent. Board the glass. Then cut a slot at eye height in two boards on two different walls, and accept the small risk that comes with them. The alternative is a group that has to open the front door to learn anything."
